Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,F,30,636,30,18,636,8.1,16.7,.488,0.2,1.0,.250,7.9,15.7,.503,4.9,5.4,.909,3.9,12.8,3.9,1.5,1.6,2.4,6.3,21.4
Kayla Alexander,CHI,C,3,20,3,0,20,7.4,9.8,.750,0.0,0.0,,7.4,9.8,.750,7.4,9.8,.750,4.9,17.2,2.5,0.0,0.0,2.5,7.4,22.1
Rebecca Allen,NYL,F,24,412,24,2,412,7.9,19.1,.417,3.5,8.3,.426,4.4,10.8,.409,1.6,2.0,.813,1.5,7.5,2.1,1.5,2.2,2.1,6.2,21.0
Jillian Alleyne,MIN,C-F,5,14,5,0,14,7.4,22.1,.333,0.0,0.0,,7.4,22.1,.333,0.0,0.0,,7.4,18.4,3.7,0.0,3.7,0.0,0.0,14.7
Ariel Atkins,WAS,G,33,804,33,33,804,8.0,19.2,.416,3.3,9.3,.357,4.7,9.9,.471,2.8,3.4,.811,1.6,6.0,4.2,3.1,1.2,2.2,4.7,22.0
Seimone Augustus,MIN,G-F,12,156,12,7,156,6.6,21.1,.313,0.7,4.0,.167,5.9,17.2,.346,1.0,1.3,.750,0.7,2.3,4.9,1.6,0.3,4.0,1.6,14.8
Rachel Banham,CON,G,29,353,29,0,353,5.3,16.6,.322,3.2,10.4,.306,2.2,6.2,.349,1.3,1.9,.692,0.1,4.3,3.7,1.2,0.3,3.7,4.9,15.1
Alana Beard,LAS,G-F,16,235,16,3,235,4.8,10.6,.449,0.2,1.1,.200,4.6,9.5,.477,1.5,2.0,.778,0.4,5.2,5.0,2.6,0.7,2.0,4.6,11.3
Kenisha Bell,MIN,G,3,11,3,0,11,0.0,4.7,.000,0.0,4.7,.000,0.0,0.0,,0.0,0.0,,0.0,4.7,4.7,0.0,0.0,4.7,4.7,0.0
Alex Bentley,ATL,G,29,634,29,4,634,8.1,26.3,.307,2.6,11.1,.235,5.5,15.2,.358,2.4,2.9,.857,0.8,4.4,7.0,1.7,0.7,3.6,4.6,21.2
Tiffany Bias,NYL,G,12,105,12,0,105,3.4,13.4,.250,1.4,9.1,.158,1.9,4.3,.444,2.9,3.4,.857,0.0,2.9,5.3,1.4,0.0,3.8,3.4,11.0
Monique Billings,ATL,F,29,553,29,2,553,5.2,13.4,.389,0.1,0.1,1.000,5.1,13.4,.385,4.4,5.6,.783,5.7,18.8,1.5,1.6,1.1,4.3,6.2,14.9
DeWanna Bonner,PHO,F-G,34,1120,34,34,1120,8.9,23.7,.377,2.4,9.0,.272,6.5,14.7,.441,7.2,7.9,.916,1.6,12.2,4.3,2.1,1.0,2.5,2.6,27.5
Brittany Boyd,NYL,G,33,649,33,17,649,5.5,14.0,.394,0.5,1.8,.304,5.0,12.2,.408,2.0,2.6,.765,2.1,9.4,11.7,3.6,0.3,6.3,5.3,13.6
Imani McGee-Stafford,DAL,C,29,346,29,6,346,8.0,17.0,.468,0.2,0.6,.250,7.8,16.4,.476,1.4,2.2,.643,6.9,17.3,2.8,2.7,2.8,5.3,9.1,17.5
Jessica Breland,ATL,F,33,767,33,33,767,7.0,18.5,.378,0.6,2.6,.237,6.4,16.0,.401,2.0,2.2,.879,2.8,16.2,3.7,2.8,2.4,2.6,4.4,16.6
Kalani Brown,LAS,C,28,377,28,0,377,7.3,15.3,.478,0.0,0.1,.000,7.3,15.1,.482,4.9,6.2,.783,4.6,13.2,2.3,1.2,3.0,3.9,6.4,19.5
Lexie Brown,MIN,G,33,605,33,0,605,7.1,17.8,.402,4.4,11.5,.385,2.7,6.3,.432,2.6,3.2,.789,0.6,3.8,4.0,2.6,0.1,3.5,3.6,21.3
Kennedy Burke,IND,G,31,423,31,7,423,5.6,14.4,.385,1.7,4.9,.350,3.8,9.5,.403,3.8,5.4,.705,2.2,5.6,2.7,2.2,1.2,2.6,3.7,16.7
Liz Cambage,LVA,C,32,807,32,30,807,12.0,23.9,.504,0.1,0.7,.167,11.9,23.1,.515,7.1,9.5,.748,3.9,16.0,4.2,1.2,3.1,4.4,5.4,31.3
Jordin Canada,SEA,G,30,865,30,29,865,6.8,17.6,.388,0.5,2.6,.186,6.3,15.0,.423,3.8,5.0,.768,0.8,4.3,9.5,4.1,0.4,4.8,2.9,18.0
Essence Carson,PHO,G,23,425,23,13,425,5.6,15.9,.352,1.7,5.1,.341,3.8,10.8,.356,3.6,4.6,.784,1.4,6.3,4.3,1.5,1.0,2.1,2.9,16.5
Arica Carter,PHO,G,6,24,6,0,24,2.2,11.0,.200,0.0,8.8,.000,2.2,2.2,1.000,0.0,0.0,,0.0,0.0,2.2,2.2,0.0,4.4,11.0,4.4
Maite Cazorla,ATL,G,31,477,31,1,477,3.1,10.1,.312,1.4,6.0,.236,1.7,4.1,.421,2.3,2.6,.875,0.2,2.3,5.3,1.9,0.1,3.1,2.4,10.0
Tina Charles,NYL,C,33,1028,33,33,1028,10.8,27.7,.389,0.5,2.9,.186,10.2,24.8,.412,5.3,6.5,.812,3.2,12.2,3.8,1.1,1.4,4.2,4.5,27.4
Karima Christmas-Kelly,MIN,F-G,6,72,6,0,72,3.6,12.9,.278,2.1,7.9,.273,1.4,5.0,.286,2.1,3.6,.600,0.7,3.6,4.3,3.6,0.7,2.9,5.7,11.4
Layshia Clarendon,CON,G,9,138,9,0,138,6.6,15.8,.419,0.7,0.7,1.000,5.9,15.1,.390,6.6,7.7,.857,2.6,8.1,7.0,1.1,0.0,2.9,2.6,20.6
Alysha Clark,SEA,F,31,881,31,30,881,6.8,14.2,.481,3.1,6.4,.481,3.8,7.8,.481,1.1,1.3,.818,2.2,8.7,4.7,2.0,1.0,2.9,3.6,17.8
Natasha Cloud,WAS,G,34,1093,34,34,1093,5.2,13.3,.394,2.1,6.6,.326,3.1,6.7,.461,2.0,2.9,.683,0.3,4.1,9.0,1.7,0.3,3.1,3.3,14.6
Nia Coffey,ATL,F,28,389,28,6,389,6.2,18.5,.338,2.9,7.7,.379,3.3,10.8,.309,3.1,5.6,.548,3.1,10.4,1.6,1.9,1.7,2.8,6.9,18.5
Napheesa Collier,MIN,F,34,1131,34,34,1131,7.6,15.5,.490,1.4,3.8,.361,6.2,11.7,.531,3.6,4.6,.792,2.7,10.1,4.0,3.0,1.5,3.0,4.5,20.2
Sydney Colson,LVA,G,33,379,33,0,379,4.8,11.0,.440,1.2,2.6,.450,3.7,8.4,.438,3.5,4.3,.818,0.3,3.0,7.7,4.0,0.5,3.7,5.2,14.4
Kahleah Copper,CHI,G-F,34,502,34,0,502,7.7,19.9,.387,1.5,4.8,.306,6.3,15.1,.413,5.3,6.8,.771,1.2,6.3,2.9,1.4,0.3,4.2,5.0,22.2
Sophie Cunningham,PHO,G,32,389,32,5,389,3.8,10.7,.354,1.9,6.2,.304,1.9,4.5,.424,4.1,4.6,.882,0.8,6.1,3.4,1.5,0.5,2.7,7.2,13.6
Damiris Dantas,MIN,F,26,667,26,26,667,6.9,15.9,.432,3.2,8.3,.393,3.6,7.6,.475,1.5,2.0,.731,2.2,8.9,6.5,1.5,1.2,3.5,5.7,18.4
Kaela Davis,DAL,F,33,634,33,16,634,6.5,19.7,.329,1.4,4.3,.314,5.1,15.3,.333,2.5,2.8,.879,1.4,6.2,5.9,1.5,0.5,6.2,6.7,16.8
Elena Delle Donne,WAS,F-G,31,901,31,31,901,12.7,24.7,.515,3.0,7.0,.430,9.7,17.7,.549,6.6,6.8,.974,2.8,14.7,3.9,1.1,2.3,1.7,1.9,35.0
Diamond DeShields,CHI,G,34,1027,34,34,1027,9.2,23.0,.399,2.4,7.5,.316,6.8,15.4,.440,5.6,6.7,.836,1.4,8.9,3.9,2.1,0.7,3.5,4.4,26.3
Blake Dietrick,SEA,G,17,106,17,1,106,0.5,5.0,.100,0.0,3.0,.000,0.5,2.0,.250,2.0,3.0,.667,0.5,5.0,8.0,1.5,1.0,5.0,7.0,3.0
Stefanie Dolson,CHI,C,34,850,34,34,850,7.0,13.4,.519,1.7,4.8,.361,5.2,8.7,.607,2.5,2.8,.898,2.4,10.9,4.3,1.2,2.0,3.8,7.2,18.2
Candice Dupree,IND,F,34,1043,34,34,1043,8.7,18.5,.472,0.0,0.2,.000,8.7,18.3,.475,2.4,2.8,.839,1.2,8.5,4.3,0.8,1.0,2.6,1.7,19.8
Asia Durr,NYL,G,18,480,18,15,480,7.4,15.9,.467,1.6,5.3,.294,5.9,10.6,.554,1.9,2.3,.818,0.5,3.0,3.3,1.0,0.7,2.2,3.6,18.3
Temi Fagbenle,MIN,C,18,271,18,0,271,8.0,15.4,.519,0.2,1.1,.167,7.8,14.2,.547,2.5,3.4,.722,4.2,9.9,2.8,1.1,1.1,6.1,7.8,18.6
Jamierra Faulkner,CHI,G,13,72,13,0,72,4.1,12.3,.333,0.7,6.1,.111,3.4,6.1,.556,2.7,5.4,.500,1.4,2.7,7.5,1.4,0.0,3.4,5.4,11.6
Sylvia Fowles,MIN,C,34,1003,34,34,1003,10.1,17.2,.588,0.0,0.0,,10.1,17.2,.588,3.6,5.1,.707,4.7,15.5,2.6,1.6,2.4,3.5,4.5,23.8
Allisha Gray,DAL,G,34,1035,34,29,1035,6.1,13.4,.457,1.7,4.5,.384,4.4,8.9,.494,5.0,5.8,.848,2.3,7.4,4.1,2.2,0.7,2.6,4.5,18.9
Chelsea Gray,LAS,G,34,1108,34,34,1108,8.6,20.8,.416,2.3,6.0,.382,6.3,14.8,.430,3.0,3.3,.917,0.6,5.9,9.3,1.5,0.1,5.0,2.3,22.6
Reshanda Gray,NYL,F,34,519,34,10,519,6.9,14.5,.473,0.1,0.2,.500,6.8,14.4,.473,3.4,6.0,.565,6.0,17.1,1.7,1.6,0.7,4.1,11.0,17.3
Brittney Griner,PHO,C,31,1018,31,31,1018,14.0,24.8,.564,0.1,0.2,.333,13.9,24.7,.565,5.2,6.5,.808,2.6,11.5,3.9,1.1,3.2,3.9,4.4,33.3
Marie Gulich,ATL,C,31,349,31,1,349,5.8,16.0,.361,1.2,3.7,.320,4.6,12.3,.373,2.4,3.3,.727,5.2,12.6,2.8,0.7,3.6,4.7,9.2,15.1
Megan Gustafson,DAL,C,25,238,25,0,238,6.1,12.5,.491,0.2,2.0,.111,5.9,10.4,.565,4.1,4.5,.900,4.5,14.3,1.6,0.9,1.4,2.3,5.9,16.6
Dearica Hamby,LVA,F,34,842,34,9,842,8.3,17.0,.488,1.0,3.1,.321,7.3,13.9,.525,4.3,6.1,.718,4.5,15.1,3.8,1.9,0.7,3.6,4.2,21.9
Isabelle Harrison,DAL,F,31,794,31,29,794,7.5,16.4,.456,0.0,0.4,.000,7.5,16.0,.468,3.3,4.6,.716,4.9,12.3,2.9,2.4,1.7,3.3,5.4,18.2
Bria Hartley,NYL,G,24,545,24,18,545,7.3,19.4,.376,2.2,6.7,.329,5.1,12.7,.401,4.9,6.1,.803,1.7,7.1,7.0,1.7,0.1,4.6,5.1,21.7
Tianna Hawkins,WAS,F,31,477,31,1,477,12.3,24.0,.514,3.6,9.9,.363,8.7,14.1,.620,4.0,4.4,.925,5.1,14.1,2.5,1.5,0.4,3.8,8.4,32.3
Tiffany Hayes,ATL,G,29,817,29,29,817,9.3,23.6,.393,2.3,7.4,.308,7.0,16.2,.432,6.1,8.0,.764,1.3,5.5,5.2,1.8,0.5,4.4,4.5,27.0
Natisha Hiedeman,CON,G,20,205,20,0,205,6.0,14.4,.414,3.2,6.9,.464,2.7,7.4,.367,3.0,6.0,.500,1.7,7.4,9.4,2.0,0.5,3.2,6.2,18.1
